Index,프로젝트번호,블록번호,행개수,열개수,중량,공정투입일,공정반출일,선호작업장,선호지번
392,5478,20D,18.2,60,2203,2020-09-02,2020-10-13,,
393,5479,13D,40.1,28.2,329,2020-11-10,2020-12-09,,
394,5479,10A,30.3,23.8,562,2020-09-14,2020-10-21,,
395,5479,11A,47,49.1,1578,2020-10-16,2020-11-27,2,
396,5479,10C,40.1,49.1,499,2020-10-05,2020-11-02,,
397,5479,62H,18.4,18.6,618,2020-12-08,2021-01-04,,
398,5479,50E,20.3,53,481,2020-11-25,2020-12-16,,
399,5479,50N,19.8,45.9,296,2020-11-20,2020-12-11,,
400,5479,62F,19.6,18.6,668,2020-11-17,2020-12-11,,
401,5479,63F,19.6,18.6,668,2020-11-17,2020-12-11,,
402,5479,63A,20.4,22.3,280,2020-11-11,2020-12-07,,
403,5479,63G,18.7,18.6,583,2020-12-07,2021-01-04,,
404,5479,50C,19.8,53,521,2020-10-09,2020-10-30,,
405,5479,62A,20.4,22.3,280,2020-11-11,2020-12-07,,
406,5479,50F,19.6,53,557,2020-11-24,2020-12-21,,
407,5479,62E,20.3,18.6,572,2020-11-12,2020-12-08,,
408,5479,62G,18.7,18.6,582,2020-12-07,2021-01-04,,
409,5479,50D,18.2,53,413,2020-10-12,2020-11-02,,
410,5479,11B,15.8,29,326,2020-08-17,2020-08-28,,
411,5479,20N,19.8,60,1925,2020-12-01,2021-01-07,,
412,5479,50G,18.7,53,485,2020-12-17,2021-01-11,,
413,5479,50B,20.5,53,444,2020-11-30,2020-12-21,,
414,5479,12D,40.1,26.5,380,2020-11-10,2020-12-09,,
415,5479,20H,18.4,22.9,520,2020-12-04,2020-12-31,,
416,5479,10F,20.7,21.7,239,2020-11-19,2020-12-17,,
417,5479,23B,20.5,29.6,693,2020-11-04,2020-11-27,,
418,5479,63E,20.3,18.6,572,2020-11-12,2020-12-08,,
419,5479,23A,20.4,25,599,2020-11-03,2020-11-27,,
420,5479,50A,20.4,53,458,2020-11-25,2020-12-17,,
421,5479,22A,20.4,25,585,2020-11-03,2020-11-27,,
422,5479,22B,20.5,29.6,678,2020-11-04,2020-11-27,,
423,5479,12E,40,23.7,456,2020-11-09,2020-12-11,,
424,5479,63H,18.4,18.6,618,2020-12-08,2021-01-04,,
425,5479,20G,18.7,22.9,616,2020-12-04,2020-12-31,,
426,5479,13E,40,23,463,2020-11-09,2020-12-11,,
427,5479,80D,23.6,43,364,2020-12-14,2021-01-13,,
428,5479,50H,18.4,53,504,2020-12-21,2021-01-13,,
429,5479,80A,23.6,37.1,459,2020-12-09,2021-01-07,,
430,5479,20C,19.8,60,2203,2020-10-16,2020-11-26,,
431,5479,20D,18.2,60,2203,2020-10-19,2020-11-27,,
